Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
27,CA-2021-1026,06/08/2022,06/09/2022,Standard Class,CG-1147,Customer 49,Corporate,United States,Los Angeles,Florida,10221,East,OFF-6967,Office Supplies,Pens,Pens Model 28,149.25,6,0.2,113.92
28,CA-2021-1027,11/04/2021,11/09/2021,Standard Class,CG-1170,Customer 105,Corporate,United States,Houston,Texas,82667,East,FUR-4143,Furniture,Bookcases,Bookcases Model 27,1333.21,7,0.3,548.13
29,CA-2021-1028,08/06/2022,08/09/2022,Standard Class,CG-1140,Customer 1,Corporate,United States,Chicago,New York,66346,Central,FUR-8618,Furniture,Bookcases,Bookcases Model 29,889.9,4,0.2,273.19
30,CA-2021-1029,11/06/2022,11/07/2022,Standard Class,CG-1131,Customer 170,Home Office,United States,Phoenix,Texas,22240,East,TEC-6085,Technology,Phones,Phones Model 15,1615.06,3,0.0,-153.79
31,CA-2021-1030,05/21/2023,05/28/2023,Second Class,CG-1116,Customer 107,Home Office,United States,Phoenix,New York,60328,South,OFF-7547,Office Supplies,Pens,Pens Model 16,303.67,1,0.0,578.42
32,CA-2021-1031,04/04/2023,04/10/2023,First Class,CG-1118,Customer 13,Home Office,United States,New York,California,69829,East,FUR-8612,Furniture,Chairs,Chairs Model 43,1066.95,9,0.2,117.3
33,CA-2021-1032,04/15/2023,04/21/2023,First Class,CG-1109,Customer 141,Corporate,United States,New York,Florida,68991,Central,OFF-5050,Office Supplies,Pens,Pens Model 41,561.85,9,0.1,426.75
34,CA-2021-1033,03/21/2021,03/27/2021,Standard Class,CG-1060,Customer 70,Corporate,United States,Chicago,Illinois,20561,East,OFF-3471,Office Supplies,Paper,Paper Model 15,772.24,3,0.3,13.95
35,CA-2021-1034,12/05/2021,12/10/2021,Standard Class,CG-1106,Customer 16,Consumer,United States,Houston,Florida,86556,West,OFF-7232,Office Supplies,Paper,Paper Model 31,21.73,6,0.0,553.48
36,CA-2021-1035,02/05/2023,02/11/2023,First Class,CG-1154,Customer 57,Corporate,United States,New York,Texas,67125,South,OFF-1475,Office Supplies,Pens,Pens Model 25,678.9,7,0.3,-34.96
37,CA-2021-1036,09/30/2022,10/05/2022,Second Class,CG-1100,Customer 152,Home Office,United States,Los Angeles,California,94246,South,OFF-3223,Office Supplies,Binders,Binders Model 30,371.64,5,0.1,127.35
38,CA-2021-1037,12/12/2021,12/19/2021,Standard Class,CG-1071,Customer 193,Corporate,United States,Chicago,California,71644,West,OFF-9837,Office Supplies,Paper,Paper Model 4,1999.82,6,0.0,450.14
39,CA-2021-1038,02/12/2023,02/13/2023,Second Class,CG-1051,Customer 6,Home Office,United States,New York,New York,26544,South,TEC-2874,Technology,Phones,Phones Model 37,1896.04,8,0.3,56.24
40,CA-2021-1039,09/13/2022,09/18/2022,First Class,CG-1183,Customer 30,Consumer,United States,Chicago,California,85849,West,OFF-6111,Office Supplies,Binders,Binders Model 37,1357.92,7,0.1,741.47
41,CA-2021-1040,08/30/2022,09/05/2022,First Class,CG-1062,Customer 27,Home Office,United States,Chicago,Illinois,25866,West,FUR-6688,Furniture,Chairs,Chairs Model 35,862.47,6,0.0,305.96
42,CA-2021-1041,05/20/2023,05/24/2023,Standard Class,CG-1027,Customer 111,Corporate,United States,Houston,New York,67080,East,OFF-9548,Office Supplies,Binders,Binders Model 42,547.46,9,0.1,264.87
43,CA-2021-1042,10/02/2021,10/05/2021,Second Class,CG-1022,Customer 72,Corporate,United States,New York,Florida,84691,South,TEC-6511,Technology,Accessories,Accessories Model 2,993.67,6,0.0,287.55
44,CA-2021-1043,12/15/2021,12/18/2021,First Class,CG-1179,Customer 71,Home Office,United States,Los Angeles,Illinois,35042,West,OFF-4954,Office Supplies,Paper,Paper Model 47,818.79,9,0.0,490.61
45,CA-2021-1044,05/18/2022,05/22/2022,Second Class,CG-1023,Customer 76,Consumer,United States,Houston,New York,50135,Central,TEC-8753,Technology,Accessories,Accessories Model 36,1066.53,7,0.3,350.39
46,CA-2021-1045,04/10/2022,04/13/2022,Standard Class,CG-1064,Customer 60,Consumer,United States,New York,Texas,25670,East,OFF-4138,Office Supplies,Pens,Pens Model 14,1479.82,5,0.3,389.59
47,CA-2021-1046,10/17/2021,10/18/2021,Second Class,CG-1075,Customer 59,Corporate,United States,New York,Texas,11854,East,TEC-5494,Technology,Accessories,Accessories Model 3,1948.85,9,0.0,497.42
48,CA-2021-1047,06/09/2023,06/16/2023,Standard Class,CG-1026,Customer 4,Home Office,United States,Chicago,Florida,72746,South,FUR-6582,Furniture,Bookcases,Bookcases Model 12,1931.34,5,0.1,-85.91
49,CA-2021-1048,05/19/2022,05/20/2022,First Class,CG-1161,Customer 176,Consumer,United States,New York,New York,83772,Central,FUR-2395,Furniture,Tables,Tables Model 16,245.72,7,0.2,396.13
50,CA-2021-1049,03/06/2023,03/11/2023,Standard Class,CG-1115,Customer 114,Corporate,United States,Phoenix,Florida,50026,West,TEC-2625,Technology,Phones,Phones Model 49,423.5,4,0.0,460.43
51,CA-2021-1050,06/27/2021,07/02/2021,Second Class,CG-1040,Customer 1,Corporate,United States,Houston,Illinois,71592,Central,FUR-1534,Furniture,Chairs,Chairs Model 15,583.33,5,0.3,659.61
52,CA-2021-1051,08/28/2021,08/31/2021,First Class,CG-1150,Customer 170,Consumer,United States,Houston,California,81376,East,FUR-3441,Furniture,Bookcases,Bookcases Model 18,1655.0,2,0.0,-34.08
53,CA-2021-1052,02/06/2023,02/13/2023,First Class,CG-1073,Customer 113,Consumer,United States,Houston,Texas,62757,Central,OFF-9199,Office Supplies,Pens,Pens Model 35,992.65,2,0.2,-160.14
54,CA-2021-1053,11/27/2021,12/02/2021,Standard Class,CG-1006,Customer 24,Consumer,United States,Phoenix,Illinois,12719,Central,OFF-1659,Office Supplies,Pens,Pens Model 49,1514.97,8,0.2,451.51
55,CA-2021-1054,08/23/2022,08/27/2022,First Class,CG-1125,Customer 24,Corporate,United States,Chicago,Florida,53687,Central,OFF-2713,Office Supplies,Binders,Binders Model 11,666.31,8,0.0,462.58
56,CA-2021-1055,02/07/2021,02/11/2021,Second Class,CG-1080,Customer 65,Corporate,United States,Los Angeles,Florida,77449,West,OFF-9889,Office Supplies,Pens,Pens Model 30,832.36,4,0.2,161.78
57,CA-2021-1056,03/29/2022,04/05/2022,Second Class,CG-1052,Customer 69,Home Office,United States,New York,Texas,67424,South,OFF-2989,Office Supplies,Pens,Pens Model 2,1946.56,10,0.0,509.78
58,CA-2021-1057,01/15/2021,01/20/2021,Standard Class,CG-1023,Customer 58,Consumer,United States,Houston,California,94896,East,OFF-9165,Office Supplies,Pens,Pens Model 46,590.8,5,0.1,634.72
59,CA-2021-1058,04/13/2022,04/18/2022,Second Class,CG-1098,Customer 49,Home Office,United States,Phoenix,New York,19150,Central,OFF-7798,Office Supplies,Binders,Binders Model 22,1869.15,9,0.0,620.55
60,CA-2021-1059,11/02/2021,11/09/2021,First Class,CG-1148,Customer 169,Corporate,United States,New York,Florida,80592,South,OFF-6654,Office Supplies,Pens,Pens Model 22,1108.32,9,0.1,255.34
61,CA-2021-1060,12/16/2022,12/18/2022,First Class,CG-1098,Customer 60,Corporate,United States,Los Angeles,Texas,71993,South,OFF-7325,Office Supplies,Binders,Binders Model 43,1586.86,3,0.1,764.82
62,CA-2021-1061,08/28/2022,08/31/2022,Second Class,CG-1112,Customer 26,Home Office,United States,Houston,California,28894,South,FUR-3529,Furniture,Bookcases,Bookcases Model 5,944.29,5,0.0,423.26
63,CA-2021-1062,03/24/2021,03/31/2021,Standard Class,CG-1172,Customer 137,Corporate,United States,Chicago,Florida,80912,West,OFF-2121,Office Supplies,Pens,Pens Model 16,1266.01,5,0.0,546.77
64,CA-2021-1063,02/18/2023,02/24/2023,First Class,CG-1025,Customer 114,Consumer,United States,Chicago,California,16028,Central,OFF-1919,Office Supplies,Binders,Binders Model 19,723.34,7,0.0,44.2
65,CA-2021-1064,11/30/2022,12/07/2022,Second Class,CG-1043,Customer 45,Consumer,United States,Phoenix,Florida,91226,East,OFF-9153,Office Supplies,Pens,Pens Model 38,294.8,8,0.3,53.98
66,CA-2021-1065,01/10/2021,01/17/2021,Standard Class,CG-1073,Customer 174,Home Office,United States,New York,California,67898,Central,OFF-5901,Office Supplies,Pens,Pens Model 41,1924.44,5,0.1,645.3
67,CA-2021-1066,05/24/2023,05/28/2023,Second Class,CG-1060,Customer 98,Home Office,United States,Chicago,Illinois,48780,Central,FUR-1359,Furniture,Tables,Tables Model 43,797.65,1,0.2,665.07
68,CA-2021-1067,09/13/2022,09/19/2022,Standard Class,CG-1073,Customer 199,Consumer,United States,Phoenix,Texas,38705,East,TEC-5106,Technology,Phones,Phones Model 44,1513.6,3,0.3,-102.84
69,CA-2021-1068,02/10/2021,02/13/2021,Standard Class,CG-1008,Customer 149,Corporate,United States,New York,California,48680,Central,TEC-7807,Technology,Accessories,Accessories Model 12,409.58,9,0.0,330.85
70,CA-2021-1069,09/21/2021,09/28/2021,Standard Class,CG-1075,Customer 192,Corporate,United States,Los Angeles,Florida,19869,East,OFF-4696,Office Supplies,Binders,Binders Model 44,1451.19,7,0.2,165.78
71,CA-2021-1070,09/28/2021,10/03/2021,Second Class,CG-1116,Customer 95,Home Office,United States,Chicago,Illinois,59941,Central,OFF-2775,Office Supplies,Binders,Binders Model 44,475.31,1,0.2,684.23
72,CA-2021-1071,09/17/2022,09/19/2022,First Class,CG-1016,Customer 163,Corporate,United States,Chicago,Florida,25292,East,TEC-1742,Technology,Laptops,Laptops Model 3,615.69,8,0.0,-102.81
73,CA-2021-1072,02/02/2022,02/06/2022,Standard Class,CG-1171,Customer 191,Home Office,United States,Phoenix,Florida,86983,East,TEC-7797,Technology,Phones,Phones Model 42,207.05,8,0.2,208.12
74,CA-2021-1073,12/08/2022,12/11/2022,Second Class,CG-1113,Customer 114,Consumer,United States,Chicago,California,99873,Central,OFF-9920,Office Supplies,Binders,Binders Model 42,723.76,7,0.0,-10.19
75,CA-2021-1074,04/04/2021,04/10/2021,Second Class,CG-1164,Customer 164,Home Office,United States,Los Angeles,California,53713,East,FUR-3063,Furniture,Tables,Tables Model 37,418.36,9,0.0,386.38
76,CA-2021-1075,03/04/2023,03/06/2023,First Class,CG-1000,Customer 71,Consumer,United States,New York,Illinois,42853,East,FUR-2801,Furniture,Tables,Tables Model 43,1734.23,3,0.0,158.24
77,CA-2021-1076,11/28/2021,11/29/2021,Second Class,CG-1067,Customer 14,Consumer,United States,Houston,Illinois,24896,West,FUR-8802,Furniture,Bookcases,Bookcases Model 29,1558.25,9,0.2,-90.95
78,CA-2021-1077,09/22/2022,09/23/2022,First Class,CG-1200,Customer 169,Home Office,United States,Chicago,Florida,94323,West,TEC-1996,Technology,Phones,Phones Model 31,1696.12,7,0.3,-92.04
79,CA-2021-1078,03/17/2021,03/18/2021,Standard Class,CG-1155,Customer 38,Consumer,United States,New York,Texas,91830,Central,TEC-7240,Technology,Laptops,Laptops Model 39,1065.81,8,0.2,405.43
80,CA-2021-1079,04/28/2021,05/05/2021,First Class,CG-1166,Customer 197,Home Office,United States,New York,Florida,69186,East,FUR-7779,Furniture,Bookcases,Bookcases Model 22,1656.56,7,0.1,529.61
81,CA-2021-1080,11/17/2021,11/23/2021,Standard Class,CG-1095,Customer 40,Home Office,United States,Houston,California,21957,West,OFF-2527,Office Supplies,Paper,Paper Model 28,202.16,6,0.0,356.37
82,CA-2021-1081,07/30/2022,08/02/2022,First Class,CG-1031,Customer 106,Corporate,United States,Houston,California,47700,Central,TEC-6761,Technology,Accessories,Accessories Model 7,1160.06,4,0.0,456.74
83,CA-2021-1082,12/25/2021,01/01/2022,First Class,CG-1094,Customer 30,Corporate,United States,Phoenix,New York,66244,West,FUR-5381,Furniture,Chairs,Chairs Model 2,369.03,5,0.0,151.02
84,CA-2021-1083,08/03/2022,08/09/2022,Standard Class,CG-1017,Customer 37,Home Office,United States,Los Angeles,California,79531,East,FUR-7163,Furniture,Chairs,Chairs Model 27,912.76,3,0.0,111.64
85,CA-2021-1084,09/03/2022,09/04/2022,Second Class,CG-1039,Customer 41,Home Office,United States,Los Angeles,California,45665,South,OFF-7947,Office Supplies,Pens,Pens Model 32,1218.08,7,0.0,15.57
86,CA-2021-1085,12/20/2021,12/24/2021,Second Class,CG-1072,Customer 174,Home Office,United States,Phoenix,Florida,79066,Central,TEC-1744,Technology,Phones,Phones Model 15,796.57,10,0.0,-192.31
87,CA-2021-1086,02/25/2023,02/27/2023,Standard Class,CG-1074,Customer 84,Consumer,United States,Los Angeles,Florida,66446,East,OFF-3116,Office Supplies,Binders,Binders Model 25,1069.84,4,0.2,358.72
88,CA-2021-1087,03/15/2021,03/19/2021,First Class,CG-1010,Customer 112,Consumer,United States,Houston,California,51033,South,TEC-7626,Technology,Laptops,Laptops Model 46,1283.88,5,0.0,205.03
89,CA-2021-1088,04/01/2023,04/06/2023,Standard Class,CG-1176,Customer 93,Consumer,United States,Houston,California,41891,South,OFF-7560,Office Supplies,Binders,Binders Model 34,166.51,5,0.3,139.51
90,CA-2021-1089,03/20/2021,03/25/2021,First Class,CG-1029,Customer 136,Home Office,United States,New York,Texas,56019,East,OFF-4871,Office Supplies,Binders,Binders Model 7,301.42,4,0.0,402.4
91,CA-2021-1090,07/01/2021,07/08/2021,First Class,CG-1126,Customer 119,Home Office,United States,Phoenix,Florida,99277,Central,TEC-6179,Technology,Phones,Phones Model 10,885.13,8,0.1,431.39
92,CA-2021-1091,02/27/2021,03/02/2021,First Class,CG-1018,Customer 80,Corporate,United States,Houston,California,17456,Central,OFF-5703,Office Supplies,Pens,Pens Model 5,1292.89,2,0.2,394.08
93,CA-2021-1092,08/18/2022,08/23/2022,First Class,CG-1010,Customer 116,Home Office,United States,New York,Texas,89299,South,OFF-9214,Office Supplies,Paper,Paper Model 10,1915.87,8,0.0,610.97
94,CA-2021-1093,03/28/2021,04/02/2021,First Class,CG-1044,Customer 11,Consumer,United States,Houston,Florida,78690,East,OFF-6962,Office Supplies,Pens,Pens Model 24,1836.69,7,0.1,574.46
95,CA-2021-1094,02/23/2021,03/02/2021,First Class,CG-1165,Customer 86,Consumer,United States,Chicago,California,83133,South,TEC-5655,Technology,Accessories,Accessories Model 17,1450.23,10,0.0,133.36
96,CA-2021-1095,05/25/2021,05/28/2021,Standard Class,CG-1167,Customer 179,Home Office,United States,Houston,New York,87993,West,TEC-6072,Technology,Accessories,Accessories Model 36,759.59,6,0.0,470.12
97,CA-2021-1096,06/24/2022,06/25/2022,First Class,CG-1171,Customer 109,Home Office,United States,Chicago,California,57526,Central,TEC-3953,Technology,Accessories,Accessories Model 14,690.05,8,0.0,26.54
98,CA-2021-1097,03/21/2021,03/24/2021,Second Class,CG-1129,Customer 198,Home Office,United States,Phoenix,California,96760,Central,FUR-3147,Furniture,Chairs,Chairs Model 39,759.67,3,0.0,631.35
99,CA-2021-1098,01/09/2023,01/13/2023,Second Class,CG-1105,Customer 94,Home Office,United States,New York,Florida,90031,Central,TEC-8355,Technology,Phones,Phones Model 15,1072.68,5,0.1,703.97
100,CA-2021-1099,11/26/2022,12/01/2022,Standard Class,CG-1118,Customer 197,Corporate,United States,Houston,Illinois,79135,South,FUR-3655,Furniture,Tables,Tables Model 13,1604.51,3,0.0,-147.82
101,CA-2021-1100,07/22/2022,07/23/2022,First Class,CG-1132,Customer 32,Corporate,United States,Los Angeles,New York,45755,South,OFF-9410,Office Supplies,Paper,Paper Model 10,1663.78,2,0.0,616.7
102,CA-2021-1101,03/01/2022,03/02/2022,Standard Class,CG-1128,Customer 96,Consumer,United States,Houston,California,59140,East,OFF-1461,Office Supplies,Binders,Binders Model 21,1862.34,6,0.0,-62.4
103,CA-2021-1102,12/14/2022,12/21/2022,Second Class,CG-1194,Customer 181,Corporate,United States,Houston,Illinois,10688,West,OFF-1311,Office Supplies,Paper,Paper Model 17,439.15,3,0.2,740.23
104,CA-2021-1103,03/10/2022,03/11/2022,Standard Class,CG-1060,Customer 78,Consumer,United States,Los Angeles,New York,65027,South,TEC-2029,Technology,Accessories,Accessories Model 8,1675.01,8,0.2,336.05
105,CA-2021-1104,08/12/2022,08/14/2022,First Class,CG-1036,Customer 75,Corporate,United States,Los Angeles,Illinois,56244,East,TEC-7825,Technology,Accessories,Accessories Model 12,1332.1,2,0.2,774.65
106,CA-2021-1105,07/12/2022,07/17/2022,First Class,CG-1141,Customer 6,Corporate,United States,Houston,California,93318,South,FUR-7116,Furniture,Bookcases,Bookcases Model 17,1497.16,6,0.0,144.8
107,CA-2021-1106,10/06/2022,10/07/2022,First Class,CG-1188,Customer 194,Corporate,United States,New York,California,56176,Central,TEC-3868,Technology,Accessories,Accessories Model 50,1372.52,8,0.3,-17.72
108,CA-2021-1107,01/04/2023,01/11/2023,Standard Class,CG-1009,Customer 76,Consumer,United States,Los Angeles,New York,15492,Central,FUR-6080,Furniture,Chairs,Chairs Model 33,802.47,9,0.1,53.31
109,CA-2021-1108,10/20/2021,10/23/2021,Second Class,CG-1167,Customer 85,Corporate,United States,Los Angeles,Texas,67272,South,TEC-8204,Technology,Phones,Phones Model 25,684.68,3,0.1,492.07
110,CA-2021-1109,10/01/2021,10/08/2021,Second Class,CG-1186,Customer 109,Consumer,United States,Houston,Illinois,33652,Central,OFF-6262,Office Supplies,Pens,Pens Model 7,169.34,5,0.0,245.92
111,CA-2021-1110,06/20/2021,06/26/2021,Standard Class,CG-1089,Customer 115,Consumer,United States,Chicago,Illinois,67008,Central,TEC-1939,Technology,Laptops,Laptops Model 5,1345.66,7,0.0,313.09
112,CA-2021-1111,06/13/2021,06/14/2021,Second Class,CG-1155,Customer 174,Corporate,United States,Los Angeles,New York,18812,East,TEC-7001,Technology,Accessories,Accessories Model 24,771.88,10,0.0,405.09
113,CA-2021-1112,01/15/2022,01/18/2022,Standard Class,CG-1195,Customer 20,Home Office,United States,New York,Illinois,58096,South,TEC-6150,Technology,Laptops,Laptops Model 42,564.59,2,0.0,535.67
114,CA-2021-1113,02/01/2022,02/06/2022,Second Class,CG-1067,Customer 199,Corporate,United States,Houston,New York,90199,Central,OFF-9047,Office Supplies,Pens,Pens Model 13,254.05,2,0.1,-27.34
115,CA-2021-1114,03/31/2021,04/07/2021,First Class,CG-1081,Customer 171,Corporate,United States,Los Angeles,Illinois,81063,Central,TEC-5914,Technology,Laptops,Laptops Model 11,1426.5,3,0.0,308.76
116,CA-2021-1115,03/23/2023,03/25/2023,Second Class,CG-1126,Customer 7,Corporate,United States,Phoenix,Illinois,58353,South,FUR-3126,Furniture,Chairs,Chairs Model 40,1769.65,2,0.0,198.16
117,CA-2021-1116,05/06/2022,05/11/2022,Standard Class,CG-1196,Customer 105,Home Office,United States,Los Angeles,New York,51553,West,TEC-8372,Technology,Accessories,Accessories Model 30,1363.42,6,0.0,677.96
118,CA-2021-1117,08/25/2022,08/27/2022,Second Class,CG-1110,Customer 129,Consumer,United States,Los Angeles,Illinois,30056,Central,TEC-3697,Technology,Accessories,Accessories Model 11,652.09,4,0.0,747.48
119,CA-2021-1118,05/17/2023,05/18/2023,Standard Class,CG-1050,Customer 163,Home Office,United States,Chicago,New York,91922,Central,TEC-9740,Technology,Laptops,Laptops Model 6,1010.12,3,0.2,741.61
120,CA-2021-1119,11/06/2022,11/11/2022,First Class,CG-1154,Customer 87,Home Office,United States,Los Angeles,California,20646,West,FUR-5336,Furniture,Chairs,Chairs Model 42,429.51,10,0.1,418.11
121,CA-2021-1120,10/05/2022,10/10/2022,Standard Class,CG-1164,Customer 78,Corporate,United States,New York,Florida,48985,South,FUR-2195,Furniture,Tables,Tables Model 45,129.23,8,0.1,284.25
122,CA-2021-1121,09/14/2022,09/16/2022,Standard Class,CG-1183,Customer 82,Home Office,United States,Chicago,Florida,27139,Central,FUR-9437,Furniture,Tables,Tables Model 36,221.31,4,0.1,-77.48
123,CA-2021-1122,05/25/2021,05/26/2021,Second Class,CG-1074,Customer 99,Home Office,United States,Houston,New York,30932,Central,OFF-6123,Office Supplies,Binders,Binders Model 13,1528.61,8,0.2,266.82
124,CA-2021-1123,01/24/2021,01/25/2021,Standard Class,CG-1129,Customer 118,Consumer,United States,New York,Illinois,56254,West,OFF-1828,Office Supplies,Paper,Paper Model 19,994.84,8,0.0,336.69
125,CA-2021-1124,05/18/2021,05/21/2021,First Class,CG-1093,Customer 196,Corporate,United States,Chicago,California,62505,West,FUR-4189,Furniture,Tables,Tables Model 24,1110.91,2,0.1,304.26
126,CA-2021-1125,04/26/2023,05/01/2023,First Class,CG-1156,Customer 31,Consumer,United States,Los Angeles,Florida,58915,Central,TEC-6990,Technology,Laptops,Laptops Model 49,297.09,10,0.2,201.39
127,CA-2021-1126,02/09/2021,02/11/2021,First Class,CG-1085,Customer 122,Home Office,United States,Houston,New York,89463,East,FUR-6373,Furniture,Chairs,Chairs Model 40,643.87,7,0.2,539.32
128,CA-2021-1127,12/11/2021,12/16/2021,First Class,CG-1136,Customer 126,Home Office,United States,Phoenix,Texas,72245,West,OFF-7035,Office Supplies,Pens,Pens Model 22,1350.87,7,0.2,107.68
129,CA-2021-1128,10/07/2022,10/08/2022,First Class,CG-1121,Customer 68,Home Office,United States,Phoenix,Illinois,39824,West,TEC-8871,Technology,Accessories,Accessories Model 11,1053.22,10,0.1,-52.22
130,CA-2021-1129,02/02/2021,02/07/2021,First Class,CG-1028,Customer 49,Consumer,United States,Houston,Texas,64890,East,TEC-7765,Technology,Phones,Phones Model 45,415.74,9,0.2,720.52
131,CA-2021-1130,03/05/2021,03/11/2021,Second Class,CG-1132,Customer 54,Home Office,United States,Chicago,Florida,78875,South,TEC-6140,Technology,Accessories,Accessories Model 12,924.73,9,0.0,346.27
132,CA-2021-1131,11/29/2022,12/05/2022,First Class,CG-1067,Customer 157,Corporate,United States,New York,New York,46569,Central,TEC-4684,Technology,Accessories,Accessories Model 20,1544.64,4,0.3,504.99
